image,class,confidence_percent,bbox_width,bbox_height,bbox_area,normalized_area
DamageCon1.png,DAMAGE - HOLE,21.69,51.12353515624994,95.96632385253906,4906.14,0.0025
DamageCon1.png,DENT,13.47,38.72998046875,61.46885681152344,2380.69,0.0012
DamageCon1.png,DAMAGE - HOLE,12.33,47.10028076171875,58.643829345703125,2762.14,0.0014
DamageCon1.png,DAMAGE - HOLE,9.89,57.605865478515625,96.05712890625,5533.45,0.0028
DamageCon1.png,DAMAGE - HOLE,9.18,70.19384765625,145.80162048339844,10234.38,0.0052
DamageCon1.png,DAMAGE - HOLE,8.15,79.44998168945312,106.15524291992188,8434.03,0.0043
DamageCon1.png,DENT,6.0,34.1488037109375,64.58599853515625,2205.53,0.0011
DamageCon1.png,DENT,5.86,49.320220947265625,79.42794799804688,3917.4,0.002
DamageCon1.png,DENT,5.15,67.50177001953125,223.74533081054688,15103.21,0.0076
DamageCon1.png,DAMAGE - HOLE,4.9,54.29681396484375,99.28521728515628,5390.87,0.0027
DamageCon1.png,DENT,4.33,64.42047119140625,61.2900390625,3948.33,0.002
DamageCon1.png,DENT,4.22,77.32110595703125,147.0575408935547,11370.65,0.0058
DamageCon1.png,DENT,4.14,47.55584716796875,103.6142578125,4927.46,0.0025
DamageCon1.png,DAMAGE - HOLE,4.04,58.8675537109375,67.4658203125,3971.55,0.002
DamageCon1.png,DAMAGE - HOLE,4.0,45.691497802734375,75.83427429199219,3464.98,0.0018
DamageCon1.png,DENT,3.96,55.4755859375,137.5118103027344,7628.55,0.0039
DamageCon1.png,DENT,3.95,37.56915283203125,64.99964141845703,2441.98,0.0012
DamageCon1.png,DENT,3.69,67.6673583984375,125.30607604980469,8479.13,0.0043
DamageCon1.png,DENT,3.33,61.1346435546875,149.91453552246094,9164.97,0.0046
DamageCon1.png,DENT,3.05,73.43927001953125,83.9990234375,6168.83,0.0031
DamageCon1.png,DENT,2.8,47.29864501953125,81.51708984375,3855.65,0.002
DamageCon1.png,DENT,2.79,62.84521484375,178.47679138183594,11216.41,0.0057
DamageCon1.png,DAMAGE - RUST,2.59,44.3675537109375,240.52603149414062,10671.55,0.0054
DamageCon1.png,DAMAGE - HOLE,2.49,84.48876953125,130.6457061767578,11038.09,0.0056
DamageCon1.png,DAMAGE - RUST,2.44,35.447265625,215.97500610351568,7655.72,0.0039
DamageCon1.png,DAMAGE - HOLE,2.34,58.2384033203125,120.90631103515625,7041.39,0.0036
DamageCon1.png,DAMAGE - HOLE,2.1,81.27484130859375,132.4772186279297,10767.06,0.0055
DamageCon1.png,DENT,1.82,54.494140625,207.89572143554688,11329.1,0.0057
DamageCon1.png,DENT,1.8,73.38037109375,137.9314422607422,10121.46,0.0051
DamageCon1.png,DENT,1.61,47.2271728515625,163.42117309570312,7717.92,0.0039
DamageCon1.png,DENT,1.5,56.611541748046875,93.29737854003906,5281.71,0.0027
DamageCon1.png,DENT,1.44,75.11251831054688,123.81034851074219,9299.71,0.0047
DamageCon1.png,DAMAGE - RUST,1.38,64.29122924804688,320.9941558837891,20637.11,0.0105
DamageCon1.png,DENT,1.28,113.41827392578125,157.42726135253906,17855.13,0.009
