image,class,confidence_percent,bbox_width,bbox_height,bbox_area,normalized_area
ContainerDamage_1172.jpg,DENT,60.75,300.7440185546875,133.0808181762695,40023.26,0.5736
ContainerDamage_1466.jpg,DENT,59.6,334.49658203125,135.81814575195312,45430.71,0.6511
ContainerDamage_1540.jpg,DAMAGE - HOLE,96.76,90.98223876953125,67.2509155273437,6118.64,0.0877
ContainerDamage_1540.jpg,DAMAGE - HOLE,57.18,121.95098876953125,73.206787109375,8927.64,0.1279
ContainerDamage_1549.jpg,DAMAGE - HOLE,94.53,70.48297119140625,64.239990234375,4527.83,0.0649
ContainerDamage_2309.jpg,DENT,51.23,402.9568939208985,125.81414794921875,50697.68,0.7266
ContainerDamage_2395.jpg,DENT,53.43,327.7532958984375,140.00213623046875,45886.16,0.6576
ContainerDamage_2605.jpg,DENT,50.16,306.7930908203125,195.8812255859375,60095.01,0.8612
ContainerDamage_2653.jpg,DENT,60.18,277.7665100097656,129.2861938476563,35911.37,0.5147
ContainerDamage_2653.jpg,DENT,58.52,403.520751953125,167.479248046875,67581.35,0.9685
ContainerDamage_3487.jpg,DENT,69.6,392.99864196777344,162.74215698242188,63957.45,0.9166
ContainerDamage_3487.jpg,DENT,61.77,289.91709899902344,138.72113037109375,40217.63,0.5764
ContainerDamage_3487.jpg,DENT,60.75,428.5218505859375,162.83148193359378,69776.85,1.0
ContainerDamage_3487.jpg,DENT,60.17,315.90936279296875,136.765625,43205.54,0.6192
ContainerDamage_3488.jpg,DENT,81.78,435.215087890625,133.81848144531247,58239.82,0.8347
ContainerDamage_3488.jpg,DENT,58.49,446.341064453125,131.42250061035156,58659.26,0.8407
ContainerDamage_3488.jpg,DENT,54.91,327.77734375,144.77166748046878,47452.87,0.6801
ContainerDamage_479.jpg,DENT,67.8,372.38299560546875,118.29388427734372,44050.63,0.6313
